bin1 bin2 count
3 1542 34
4 1542 50
4 2502 37
5 1542 44
6 1542 37
7 1542 30
10 1542 27
12 1542 29
16 1542 28
17 1542 27
55 2462 41
90 201 28
90 1542 61
111 964 35
136 1199 44
201 1542 60
202 1542 40
203 1248 30
203 1542 40
204 1542 39
207 1542 30
208 1542 31
209 1542 35
211 1542 29
212 1542 27
216 1542 34
218 1542 28
254 1359 45
267 833 59
271 645 35
326 635 31
329 2001 34
351 1955 30
352 1280 29
383 1542 28
388 1542 31
389 1542 29
399 694 27
415 1916 35
464 1013 36
479 2063 41
518 570 30
543 852 33
543 1155 60
543 1542 36
544 1542 31
546 1542 30
547 1542 28
548 1542 35
551 1542 33
611 2429 28
677 738 33
684 2156 37
694 2006 29
695 2364 58
699 1542 34
729 1542 71
771 1525 65
826 1938 33
826 2257 42
843 2272 91
852 1542 48
852 2137 30
852 2272 127
853 1542 34
854 1542 33
855 1542 31
856 1542 28
857 1542 31
886 1688 36
902 2478 27
905 1831 28
915 1585 30
916 2419 50
919 2447 69
940 1103 28
957 2187 33
996 1496 40
1002 1542 77
1003 1542 43
1005 1542 45
1012 1542 35
1023 1196 30
1095 2327 28
1120 1462 34
1134 2465 37
1155 1542 86
1155 2272 110
1156 1542 40
1157 1923 33
1160 1542 35
1161 1542 49
1162 1542 37
1163 1542 35
1165 1542 27
1166 1542 35
1170 1542 28
1175 1542 31
1239 1339 43
1260 1466 114
1283 2328 59
1287 1542 47
1288 1542 33
1289 1542 30
1291 1542 32
1292 1542 35
1293 1542 28
1295 1542 29
1296 1542 30
1297 1542 35
1299 1542 28
1301 1542 27
1304 1542 30
1402 2183 42
1415 1542 47
1416 1542 31
1421 1542 28
1422 1542 29
1475 1788 55
1542 1786 54
1542 1787 33
1542 1791 30
1542 1792 32
1542 1794 29
1542 1795 29
1542 1806 27
1542 1841 36
1542 1916 29
1542 1918 34
1542 1923 74
1542 2033 35
1542 2034 31
1542 2036 31
1542 2038 39
1542 2041 34
1542 2042 41
1542 2129 235
1542 2137 32
1542 2138 27
1542 2236 61
1542 2237 33
1542 2247 27
1542 2332 42
1543 2166 27
1571 2057 27
1571 2444 37
1571 2445 47
1616 2055 43
1622 1838 27
1647 2272 118
1653 2455 27
1660 2480 35
1660 2481 48
1669 2283 31
1771 1888 35
1841 2129 242
2137 2332 27
2267 2454 30
